CASEID,DIARYDAY,TRAVEL_DUR,TRAVEL_WORK_DUR,TRAVEL_SOCO_DUR,TRAVEL_ENT_DUR,TRAVEL_EXE_DUR,OTHER_TRAVEL_DUR,EXE_DUR,ALONE_EXE_DUR,GROUP_EXE_DUR,INT_DUR,ALONE_INT_DUR,GROUP_INT_DUR,WORK_DUR,ALONE_WORK_DUR,GROUP_WORK_DUR,LEI_DUR,ALONE_LEI_DUR,GROUP_LEI_DUR,SLEEP_DUR,OTHER_DUR,AGE,SEX,EDU,EMP_STAT,HOUSE,INC,CHILDREN,ADULT
2.02E+13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,660,240,240,300,61,1,39,5,1,16,0,2
2.02E+13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,420,0,690,330,85,2,35,5,1,14,0,3
2.02E+13,2,45,10,0,0,0,35,0,0,0,0,0,0,680,0,680,0,0,0,465,250,32,2,43,1,1,15,3,1
2.02E+13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,0,645,615,180,63,2,44,5,1,16,0,2
2.02E+13,3,10,10,0,0,0,0,0,0,0,45,0,45,495,0,495,300,0,300,345,245,52,2,43,1,1,15,0,3
2.02E+13,1,6,0,0,0,6,0,60,60,0,0,0,0,0,0,0,714,714,0,660,0,72,1,43,5,1,13,0,2
2.02E+13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,180,0,550,710,58,1,39,1,1,9,0,1
2.02E+13,2,30,0,0,0,0,30,0,0,0,20,0,20,530,530,0,70,0,70,510,280,36,1,44,1,1,16,1,2
2.02E+13,2,0,0,0,0,0,0,70,70,0,120,120,0,515,515,0,60,60,0,520,155,35,2,44,1,1,16,0,1
2.02E+13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,285,50,2,39,1,6,6,0,1
2.02E+13,4,161,0,25,0,0,136,0,0,0,0,0,0,0,0,0,193,193,0,660,426,49,1,43,1,1,12,2,2
2.02E+13,7,0,0,0,0,0,0,0,0,0,240,180,60,0,0,0,120,0,120,539,541,80,1,39,5,1,12,0,2
2.02E+13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,235,0,420,785,66,2,43,5,1,13,0,1
2.02E+13,1,30,0,0,0,0,30,0,0,0,120,120,0,0,0,0,445,0,445,705,140,80,1,39,5,1,9,0,2
2.02E+13,4,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,270,270,0,950,214,70,2,31,5,1,6,0,1
2.02E+13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,90,290,660,400,17,1,36,2,1,13,1,2
2.02E+13,1,55,0,0,0,0,55,95,25,70,0,0,0,195,195,0,265,145,120,450,380,58,2,44,1,1,16,0,3
2.02E+13,1,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,470,470,0,570,380,67,1,40,5,1,16,0,3
2.02E+13,3,50,50,0,0,0,0,0,0,0,0,0,0,521,0,521,120,120,0,600,149,69,1,39,1,1,13,0,2
2.02E+13,7,0,0,0,0,0,0,0,0,0,480,480,0,0,0,0,360,360,0,240,360,21,1,40,2,1,12,0,2
2.02E+13,7,25,10,15,0,0,0,0,0,0,0,0,0,400,0,400,270,0,270,665,80,17,2,38,1,1,14,1,2
2.02E+13,4,120,60,0,0,0,60,0,0,0,0,0,0,510,0,510,40,0,40,434,336,30,2,39,1,1,8,0,2
2.02E+13,5,200,0,0,0,0,200,0,0,0,0,0,0,0,0,0,713,30,683,455,72,24,1,40,1,1,12,0,2
2.02E+13,7,101,0,0,0,0,101,30,0,30,0,0,0,0,0,0,150,0,150,491,668,63,2,39,5,1,11,0,2
2.02E+13,3,180,180,0,0,0,0,0,0,0,20,20,0,540,540,0,5,0,5,525,170,39,1,39,1,1,14,0,3
2.02E+13,4,565,0,0,0,0,565,0,0,0,0,0,0,0,0,0,100,0,100,630,145,61,2,39,5,1,13,0,2
2.02E+13,6,0,0,0,0,0,0,0,0,0,600,600,0,0,0,0,0,0,0,720,120,19,1,35,4,1,2,0,2
2.02E+13,7,0,0,0,0,0,0,0,0,0,0,0,0,300,300,0,260,260,0,450,430,59,2,45,1,1,12,0,1
2.02E+13,7,0,0,0,0,0,0,0,0,0,120,120,0,0,0,0,565,565,0,600,155,40,1,41,1,1,10,1,1
2.02E+13,7,80,80,0,0,0,0,0,0,0,0,0,0,515,0,515,110,0,110,600,135,54,2,40,1,1,4,1,4
2.02E+13,7,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,75,0,75,675,590,66,1,43,2,1,10,0,4
2.02E+13,6,0,0,0,0,0,0,45,0,45,0,0,0,0,0,0,540,540,0,720,135,80,2,39,5,1,15,0,2
